Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
AEE,0.5829,0.6313,0.5238,False,0.8,74.42,-22.863
CPB,0.5827,0.6321,0.5223,False,0.0,-36.94,-34.9014
DE,0.5825,0.6144,0.5435,False,1.7,155.26,81.3144
HAS,0.5824,0.642,0.5096,False,0.3,-20.56,-5.1202
META,0.5824,0.6443,0.5067,False,-0.8,-11.23,-18.5727
CF,0.5816,0.6127,0.5434,False,1.0,90.16,6.7201
FTNT,0.5811,0.6249,0.5276,False,0.1,223.49,160.8824
CNC,0.5809,0.6299,0.5211,False,-0.3,-68.78,38.5418
JCI,0.5807,0.6514,0.4943,False,-0.5,105.98,65.7901
BAC,0.5796,0.6206,0.5295,False,1.2,137.11,40.8144
KIM,0.5792,0.6309,0.5159,False,0.6,67.75,-81.6529
PFE,0.5783,0.6348,0.5092,False,-0.5,-96.45,8.1786
BEN,0.5763,0.6377,0.5013,False,1.2,89.04,17.8117
GE,0.5762,0.6243,0.5175,False,-0.6,46.77,-9.5025
AVY,0.5753,0.6134,0.5288,False,-0.2,-31.65,-67.8177
NDSN,0.5753,0.5986,0.5468,False,-0.3,37.71,-18.4449
FIS,0.5749,0.6295,0.5082,False,-1.0,-84.39,-40.0425
CMCSA,0.5744,0.6325,0.5033,False,-0.7,-38.54,12.7184
CTVA,0.5744,0.6228,0.5153,False,0.5,0.47,67.9431
NVR,0.574,0.5487,0.6049,False,-0.4,-14.61,-31.6202
TTWO,0.5726,0.6065,0.5311,False,1.0,171.51,29.6631
IR,0.5724,0.5983,0.5406,False,0.2,76.49,0.6506
BF-B,0.5723,0.626,0.5067,False,0.4,-78.32,-0.5797
GD,0.5722,0.6367,0.4935,False,-1.8,-56.55,34.1054
IBM,0.5714,0.607,0.528,False,1.1,104.5,-35.621
CHRW,0.5708,0.6391,0.4872,False,-1.1,4.03,-64.0596
LVS,0.5694,0.6039,0.5273,False,0.6,7.24,-5.0955
TROW,0.5689,0.5923,0.5403,False,1.4,126.59,-1.5525
MNST,0.5684,0.6027,0.5266,False,0.0,30.14,43.5394
BA,0.5675,0.6277,0.4939,False,0.0,23.63,66.852
NI,0.5675,0.5976,0.5306,False,1.4,74.13,-69.789
ETN,0.5674,0.6007,0.5266,False,0.2,136.33,21.331
DGX,0.5669,0.5961,0.5312,False,0.2,35.0,-65.7118
AME,0.5668,0.5468,0.5911,False,0.5,46.52,-31.9465
DDOG,0.5663,0.5817,0.5476,False,1.3,234.65,160.9298
PHM,0.5647,0.6101,0.5092,False,0.1,27.52,40.1413
GL,0.5645,0.5797,0.5458,False,0.5,38.38,-1.2225
T,0.5643,0.6186,0.4979,False,0.8,7.44,-71.6922
ITW,0.5641,0.5802,0.5444,False,0.3,49.56,-62.5672
MO,0.564,0.5867,0.5362,False,2.0,46.53,-95.3025
FITB,0.5631,0.6269,0.4852,False,0.9,94.37,51.4353
APD,0.5626,0.5424,0.5873,False,1.8,66.14,-76.0045
FANG,0.5624,0.5899,0.5287,False,-0.5,-13.92,31.9129
NKE,0.5613,0.5789,0.5398,False,0.3,-0.02,-0.3509
BIIB,0.5604,0.5982,0.5142,False,-1.7,-117.2,-49.1724
ESS,0.5603,0.5842,0.5312,False,0.3,86.52,-24.7921
AIZ,0.5602,0.5348,0.5912,False,1.8,195.17,-6.5808
